worker_id,name,nin,bvn,bank_account,salary,department,date_added,last_verified,is_ghost
585978e2-e1e7-413c-93f7-6aa38edd3da2,Worker 2302,12933713327,69828338630,4954325944,173016.144589309,Dept 8,2026-05-04T00:13:29.232168,2025-08-15T00:13:29.232187,0
6d24efdf-f71d-4572-896e-a1da6f32f125,Worker 3621,77260269738,72194911582,7649659670,170538.7207668653,Dept 3,2024-06-17T00:13:29.232238,2025-12-17T00:13:29.232246,0
bbe56ac0-2303-4c63-ab07-a403679728e6,Worker 7516,28456235733,94034994476,5091039231,226687.5571837266,Dept 12,2026-02-17T00:13:29.232280,2025-10-16T00:13:29.232287,0
6212a31d-d972-4b86-bd92-7843290c5e78,Worker 3960,83305294341,84623272372,5622590045,137387.5510979624,Dept 4,2025-04-30T00:13:29.232318,2026-01-31T00:13:29.232323,0
696feedf-d029-4f9c-b407-dc17da8a92c1,Worker 3007,23721280149,04114409778,3458875512,187948.2351671246,Dept 6,2025-01-10T00:13:29.232355,2025-05-15T00:13:29.232360,0
1af1508e-32d6-4e18-b23a-4c9bc0c3b360,Worker 1087,06071671710,39212717434,0940293966,223293.65822796134,Dept 15,2026-03-02T00:13:29.232388,2026-03-16T00:13:29.232394,0
0e5c47eb-6cfc-48aa-b913-e4c00b206d36,Worker 4387,77260269738,97772806818,7122607718,999999999.0,,2024-05-10T00:13:29.233172,,1
a884c8e5-fade-46ff-861b-4294c7612a26,Worker 7556,56781196548,98444702918,4708303805,116957.95966922905,Dept 13,2025-05-25T00:13:29.233227,2026-03-19T00:13:29.233234,0
c7882757-52a4-43d6-b971-02a32c92d1b2,Worker 1283,56781196548,35946141503,3806200289,999999999.0,,2024-10-31T00:13:29.233315,,1
5795646e-f6c9-41f3-a158-dad4a6fe20ec,Worker 5555,06071671710,71120479860,4806388156,150000.0,,2024-07-23T00:13:29.233386,,1
ab37f9d3-e17c-41ba-b579-502436a0c0d9,Worker 9182,11563080611,28240796217,6242709380,115602.52485052333,Dept 9,2024-11-11T00:13:29.233424,2026-03-21T00:13:29.233430,0
b39322e3-f901-4f0e-bc64-aab1df827afb,Worker 2373,76531770253,87326258939,4194485402,179921.3981908293,Dept 6,2026-05-06T00:13:29.233462,2025-10-23T00:13:29.233467,0
ee692f24-5cc9-4ef9-bfab-d913dd351c77,Worker 7270,06071671710,92570633803,2511938114,150000.0,,2025-02-19T00:13:29.233545,,1
71671d7c-4a83-4fa1-8b25-e480b5487774,Worker 7922,41038730003,22820703452,4828879231,141206.63905624207,Dept 16,2025-10-12T00:13:29.233581,2025-11-12T00:13:29.233586,0
3c9b87b1-080b-4629-b19e-b636f7d18208,Worker 3636,62131916330,04452974926,1085285871,147572.95047117787,Dept 11,2023-07-10T00:13:29.233615,2025-08-24T00:13:29.233621,0
b9c73e80-242a-4822-b6ef-75dc4b2a0922,Worker 9836,78132103628,98282829393,0069860466,166876.4769573447,Dept 9,2024-10-15T00:13:29.233654,2026-04-30T00:13:29.233661,0
e37a15a8-6365-4564-8e55-dcb7512122ca,Worker 2899,78772721406,62792830176,5150599426,163180.63192620547,Dept 4,2024-10-14T00:13:29.233691,2026-01-27T00:13:29.233697,0
385633c5-aab8-4053-97db-d81b5505dc89,Worker 2223,94172915425,36360636563,6067576381,99584.87204665176,Dept 11,2026-02-23T00:13:29.233724,2026-03-05T00:13:29.233730,0
2ec2d27e-5167-44c0-8f1a-100f09bbd9fd,Worker 2415,82503466218,41697922410,1222017419,123384.020462813,Dept 17,2025-09-14T00:13:29.233757,2025-09-06T00:13:29.233762,0
48eb46a7-e09f-4359-81a2-47adfdc3d4a5,Worker 9822,38333991758,38442930583,7544830596,94111.65590913294,Dept 9,2024-05-30T00:13:29.233790,2025-11-07T00:13:29.233798,0
